frame,abstime,reltime,Cursor 1 [C],Cursor 2 [C],Cursor 3 [C]
14992,16:41.2,20.126,8.24E+01,3.40E+01,3.17E+01
14993,16:41.2,20.186,8.26E+01,3.40E+01,3.17E+01
14994,16:41.3,20.251,8.28E+01,3.40E+01,3.18E+01
14995,16:41.3,20.31,8.30E+01,3.41E+01,3.17E+01
14996,16:41.4,20.374,8.32E+01,3.41E+01,3.17E+01
14997,16:41.5,20.439,8.35E+01,3.41E+01,3.18E+01
14998,16:41.5,20.498,8.37E+01,3.41E+01,3.18E+01
14999,16:41.6,20.563,8.39E+01,3.40E+01,3.18E+01
15000,16:41.7,20.625,8.41E+01,3.40E+01,3.18E+01
15001,16:41.7,20.688,8.43E+01,3.40E+01,3.18E+01
15002,16:41.8,20.755,8.45E+01,3.41E+01,3.18E+01
15003,16:41.8,20.811,8.46E+01,3.41E+01,3.18E+01
15004,16:41.9,20.875,8.48E+01,3.41E+01,3.18E+01
15005,16:42.0,20.939,8.50E+01,3.41E+01,3.18E+01
15006,16:42.0,21.001,8.52E+01,3.41E+01,3.18E+01
15007,16:42.1,21.062,8.54E+01,3.41E+01,3.18E+01
15008,16:42.1,21.123,8.56E+01,3.41E+01,3.19E+01
15009,16:42.2,21.187,8.58E+01,3.41E+01,3.19E+01
15010,16:42.3,21.249,8.61E+01,3.42E+01,3.19E+01
15011,16:42.3,21.315,8.62E+01,3.42E+01,3.19E+01
15012,16:42.4,21.375,8.64E+01,3.42E+01,3.19E+01
15013,16:42.5,21.436,8.65E+01,3.42E+01,3.19E+01
15014,16:42.5,21.501,8.68E+01,3.42E+01,3.19E+01
15015,16:42.6,21.564,8.69E+01,3.42E+01,3.19E+01
15016,16:42.7,21.627,8.71E+01,3.42E+01,3.19E+01
15017,16:42.7,21.686,8.72E+01,3.41E+01,3.19E+01
15018,16:42.8,21.755,8.73E+01,3.41E+01,3.19E+01
15019,16:42.8,21.813,8.75E+01,3.42E+01,3.19E+01
15020,16:42.9,21.874,8.77E+01,3.42E+01,3.19E+01
15021,16:43.0,21.938,8.78E+01,3.42E+01,3.19E+01
15022,16:43.0,21.998,8.79E+01,3.42E+01,3.19E+01
